year,Title,Director,Cast,Country,Subgenre/Notes,
2010,Downstream,Simone Bartesaghi,Jonathon Trent, ,Post-apocalyptic action,
2010,Enthiran,S. Shankar,Rajinikanth, ,Robot Uprising,
2010,Future X-Cops,Wong Jing,Andy Lau, ,Time travel,
2010,Growth,Gabriel Cowan,Mircea Monroe, ,Horror,
2010,Hot Tub Time Machine,Sean Anders,Rob Corddry, ,Comedy,
2010,Hunter Prey,Sandy Collora,Clark Bartram, ,Thriller,
2010,Inception,Christopher Nolan,Leonardo DiCaprio, ,Action thriller,
2010,Iron Man 2,Jon Favreau,Robert Downey Jr., ,Superhero,
2010,Kaboom,Gregg Araki,Thomas Dekker, ,Comedy mystery,
2010,Die kommenden Tage,Lars Kraume,Bernadette Heerwagen, ,Near-future drama,
2010,Mardock Scramble: The First Compression,Susumu Kudo,, ,Anime film,
2010,Megamind,Tom McGarth,Will Ferrell, ,Family-oriented action comedy,
2010,Monsters,Gareth Edwards,Scoot McNairy, ,Romantic ,
2010,Mutant Girls Squad,Noboru Iguchi,Yumi Sugimoto, ,Action,
2010,Never Let Me Go,Mark Romanek,Keira Knightley, ,Dystopian,
2010,Predators,Nimród Antal,Adrien Brody, ,Horror,
2010,Repo Men,Miguel Sapochnik,Jude Law, ,Action thriller,
2010,Resident Evil: Afterlife,Paul W. S. Anderson,Milla Jovovich, ,Action horror,
2010,Shank,Mo Ali,Adam Deacon, ,Action,
2010,Skyline,Colin Strause,Donald Faison, ,Alien invasion,
2010,Space Battleship Yamato,Takashi Yamazaki,Takuya Kimura, ,Action adventure,
2010,Tron: Legacy,Joseph Kosinski,Jeff Bridges, ,Action adventure,
2010,Universal Soldier: Regeneration,John Hyams,Jean-Claude Van Damme, ,Action,
2010,Womb,Benedek Fliegauf,Eva Green, ,Romantic drama,
year,Title,Director,Cast,Country,Subgenre/Notes,
2011,Jason Connery,Bruce Boxleitner, ,Horror,
2011,7aam Arivu,A. R. Murugadoss,Surya Sivakumar, ,Thriller,
2011,The Adjustment Bureau,George Nolfi,Matt Damon, ,Romantic thriller,
2011,Another Earth,Mike Cahill,William Mapother, ,Drama,
2011,Apollo 18,Gonzalo López-Gallego,Lloyd Owen, ,Horror,
2011,Area Q,Gerson Sanginitto,Isaiah Washington, ,Thriller,
2011,Atlas Shrugged: Part I,Paul Johansson,Taylor Schilling, ,Mystery drama,
2011,Attack the Block,Joe Cornish,John Boyega, ,Action horror,
2011,Battle: Los Angeles,Jonathan Liebesman,Aaron Eckhart, ,Alien invasion,
2011,Captain America: The First Avenger,Joe Johnston,Chris Evans, ,Superhero,
2011,Cowboys & Aliens,Jon Favreau,Daniel Craig, ,Western,
2011,The Darkest Hour,Chris Gorak,Olivia Thirlby, ,Action horror,
2011,Eva,Kike Maíllo,Daniel Brühl, ,Drama,
2011,Extraterrestre,Nacho Vigalondo,Michelle Jenner, ,Drama,
2011,Gantz,Shinsuke Sato,Kazunari Ninomiya, ,Action horror,
2011,Gantz: Perfect Answer,Shinsuke Sato,Kazunari Ninomiya, ,Action horror,
2011,Generation P,Victor Ginzburg,Vladimir Epifancev, ,Comedy drama,
2011,Green Lantern,Martin Campbell,Ryan Reynolds, ,Superhero,
2011,Hell,Tim Fehlbaum,Hannah Herzsprung, ,Post-apocalyptic,
2011,O Homem do Futuro,Cláudio Torres,Wagner Moura, ,Time travel,
2011,I Am Number Four,D. J. Caruso,Timothy Olyphant, ,Action thriller,
2011,In Time,Andrew Niccol,Justin Timberlake, ,Thriller,
2011,Limitless,Neil Burger,Bradley Cooper, ,Mystery thriller,
2011,Love,William Eubank,Gunner Wright, ,Drama,
2011,Mardock Scramble: The Second Combustion,Susumu Kudo,, ,Anime film,
2011,Mars Needs Moms,Simon Wells,Seth Green, ,Animated action comedy,
2011,Melancholia,Lars von Trier,Kirsten Dunst, ,Drama,
2011,Paul,Greg Mottola,Simon Pegg, ,Comedy,
2011,Phase 7,Nicolás Goldbart,Daniel Hendler, ,Comedy thriller,
2011,Priest,Scott Stewart,Paul Bettany, ,Action horror,
2011,The Prodigies,Antoine Charreyron,Jeffrey Evan Thomas, ,Animated,
2011,Ra.One,Anubhav Sinha,Shah Rukh Khan, ,Action superhero,
2011,Real Steel,Shawn Levy,Hugh Jackman, ,Action,
2011,Rise of the Planet of the Apes,Rupert Wyatt,James Franco, ,Action drama,
2011,Source Code,Duncan Jones,Jake Gyllenhaal, ,Thriller,
2011,Super 8,J. J. Abrams,Joel Courtney, ,Mystery thriller,
2011,The Thing,Matthijs van Heijningen Jr.,Mary Elizabeth Winstead, ,Horror,
2011,Thor,Kenneth Branagh,Chris Hemsworth, ,Superhero,
2011,Transformers: Dark of the Moon,Michael Bay,Shia LaBeouf, ,Action,
2011,X-Men: First Class,Matthew Vaughn,James McAvoy, ,Superhero,
year,Title,Director,Cast,Country,Subgenre/Notes,
2012,009 Re:Cyborg,Kenji Kamiyama,, ,Anime film,
2012,Alien Origin,Mark Atkins,Chelsea Vincent, ,Horror,
2012,The Amazing Spider-Man,Marc Webb,Andrew Garfield, ,Superhero,
2012,The Avengers,Joss Whedon,Robert Downey Jr., ,[nb 4],
2012,Battleship,Peter Berg,Taylor Kitsch, ,Action thriller,
2012,Branded,Jamie Bradshaw,Ed Stoppard, ,,
2012,Chronicle,Josh Trank,Michael B. Jordan, ,Action drama,
2012,Cloud Atlas,Tom Tykwer,Tom Hanks, ,[nb 5],
2012,Dredd,Pete Travis,Karl Urban, ,,
2012,The Divide,Xavier Gens,Lauren German, ,Drama thriller,
2012,Grabbers,Jon Wright,Richard Coyle, ,,
2012,The Hunger Games,Gary Ross,Jennifer Lawrence, ,[nb 6],
2012,Iron Sky,Timo Vuorensola,Julia Dietze, ,Comedy,
2012,John Carter,Andrew Stanton,Taylor Kitsch, ,Action adventure,
2012,Lockout,James Mather,Guy Pearce, ,Action,
2012,Looper,Rian Johnson,Bruce Willis, ,,
2012,Mardock Scramble: The Third Exhaust,Susumu Kudo,, ,Anime film,
2012,Mars et Avril,Martin Villeneuve,Jacques Languirand, ,Drama Fantasy,
2012,Men in Black 3,Barry Sonnenfeld,Will Smith, ,Comedy,
2012,Prometheus,Ridley Scott,Noomi Rapace, ,Action Horror,
2012,Resident Evil: Retribution,Paul W. S. Anderson,Milla Jovovich, ,,
2012,Robot & Frank,Jake Schreier,Frank Langella, ,Drama,
2012,Safety Not Guaranteed,Colin Trevorrow,Aubrey Plaza, ,Comedy drama,
2012,Seeking a Friend for the End of the World,Lorene Scafaria,Steve Carell, ,Comedy drama,
2012,Strange Frame,GB Hajim,Claudia Black, ,Cut-out animation Musical,
2012,Starship Troopers: Invasion,Shinji Aramaki,, ,Computer animation,
2012,Storage 24,Johannes Roberts,Noel Clarke, ,[10],
2012,Total Recall,Len Wiseman,Colin Farrell, ,Cyberpunk action,
2012,Thermae Romae,Hideki Takeuchi,Hiroshi Abe, ,Time travel comedy,
2012,Upside Down,Juan Diego Solanas,Jim Sturgess, ,,
2012,The Watch,Akiva Schaffer,Ben Stiller, ,Comedy,
year,Title,Director,Cast,Country,Subgenre/Notes,
2013,After Earth,M. Night Shyamalan,Will Smith, ,Action adventure,
2013,The A.R.K. Report,Shmuel Hoffman,Katy Castaldi, ,Action,
2013,The Colony,Jeff Renfroe,Laurence Fishburne, ,Post-apocalyptic,
2013,The Congress,Ari Folman,Robin Wright, ,Live action/animation,
2013,The Cosmonaut,Nicolás Alcalá,Katrine De Candole, ,,
2013,Dark Skies,Scott Stewart,Keri Russell, ,Horror,
2013,Despicable Me 2,Pierre Coffin,Steve Carell, ,Animated comedy film,
2013,Dick Figures: The Movie,Ed Skudder Zack Keller,Ed Skudder Zack Keller , ,Animated science fantasy comedy film,
2013,Elysium,Neill Blomkamp,Matt Damon, ,Action Drama,
2013,Escape from Planet Earth,Cal Brunker,Brendan Fraser, ,Animated,
2013,Europa Report,Sebastián Cordero,Sharlto Copley, ,Drama,
2013,Ender's Game,Gavin Hood,Asa Butterfield, ,Young adult space opera,
2013,Frequencies,Darren Paul Fisher,Daniel Fraser, ,Hard sf (different laws of physics),
2013,G.I. Joe: Retaliation,Jon M. Chu,Dwayne Johnson, ,Action,
2013,Gatchaman,Tōya Satō,Tori Matsuzaka, ,,
2013,Gravity,Alfonso Cuarón,Sandra Bullock, ,Disaster film,
2013,Hard to Be a God,Aleksey German,Leonid Yarmolnik, ,,
2013,Her,Spike Jonze,Joaquin Phoenix, ,Drama Romance,
2013,The Hunger Games: Catching Fire,Francis Lawrence,Jennifer Lawrence, ,,
2013,Independence Daysaster,W.D. Hogan,Ryan Merriman, ,Action,
2013,The Host,Andrew Niccol,Saoirse Ronan, ,Romantic drama,
2013,Iron Man 3,Shane Black,Robert Downey Jr., ,Superhero,
2013,Krrish 3,Rakesh Roshan,Hrithik Roshan, ,Superhero,
2013,The Last Days,David Pastor,Quim Gutiérrez, ,Thriller,
2013,The Last Days on Mars,Ruairí Robinson,Liev Schreiber, ,Thriller,
2013,The Machine,Caradog W. James,Caity Lotz, ,Thriller,
2013,Man of Steel,Zack Snyder,Henry Cavill, ,Superhero,
2013,Oblivion,Joseph Kosinski,Tom Cruise, ,Post-apocalyptic,
2013,Pacific Rim,Guillermo del Toro,Idris Elba, ,Monster movie,
2013,The Purge,James DeMonaco,Lena Headey, ,Dystopian thriller,
2013,Riddick,David Twohy,Vin Diesel, ,[13],
2013,Snowpiercer,Bong Joon-ho,Chris Evans, ,Action thriller,
2013,Space Pirate Captain Harlock,Shinji Aramaki,, ,Computer animated,
2013,Star Trek Into Darkness,J. J. Abrams,Chris Pine, ,Action adventure,
2013,Thor: The Dark World,Alan Taylor,Chris Hemsworth, ,Superhero,
2013,The Wolverine,James Mangold,Hugh Jackman, ,Superhero,
2013,World War Z,Marc Forster,Brad Pitt, ,Post-apocalyptic zombie horror,
2013,The World's End,Edgar Wright,Simon Pegg, ,Comedy,
2013,Young Ones,Jake Paltrow,Nicholas Hoult, ,,
2013,The Zero Theorem,Terry Gilliam,Christoph Waltz, ,Drama Fantasy ,
year,Title,Director,Cast,Country,Subgenre/Notes,
2014,The Amazing Spider-Man 2,Marc Webb,Andrew Garfield, ,Superhero,
2014,The Anomaly,Noel Clarke,Noel Clarke, ,,
2014,Armor Hero Atlas,Zheng Guowei,Xu Feng Cao Xiyue Kenny Zeng, ,Science fiction action,
2014,Autómata,Gabe Ibáñez,Antonio Banderas, ,,
2014,Beyond,Joseph Baker and Tom Large,Richard J. Danum Gillian MacGregor Paul Brannigan, ,Independent psychological drama,
2014,Big Hero 6,Don Hall,Ryan Potter, ,Animation,
2014,Bodacious Space Pirates: Abyss of Hyperspace,Tatsuo Satō,, ,,
2014,Bugs,Yan Jia,Xia Zitong , ,Science fiction disaster thriller,
2014,Captain America: The Winter Soldier,Russo brothers,Chris Evans, ,Superhero,
2014,Coherence,James Ward Byrkit,Emily Baldoni, ,,
2014,Dawn of the Planet of the Apes,Matt Reeves,Jason Clarke, ,,
2014,The Device,Jeremy Berg,Kate Alden, ,[18],
2014,Divergent,Neil Burger,Shailene Woodley, ,,
2014,Earth to Echo,Dave Green,, ,,
2014,Edge of Tomorrow,Doug Liman,Tom Cruise, ,Time travel action,
2014,Ejecta,Chad Archibald,Lisa Houle, ,,
2014,Expelled from Paradise,Seiji Mizushima,Rie Kugimiya, ,Anime film,
2014,The Giver,Phillip Noyce,Brenton Thwaites, ,,
2014,Die Gstettensaga: The Rise of Echsenfriedl,Johannes Grenzfurthner,Lukas Tagwerker Sophia Grabner Jeff Ricketts, ,Post-apocalyptic art house comedy,
2014,Godzilla,Gareth Edwards,Aaron Johnson, ,Monster movie,
2014,Guardians of the Galaxy,James Gunn,Chris Pratt, ,Superhero,
2014,The Hunger Games: Mockingjay – Part 1,Francis Lawrence,Jennifer Lawrence, ,Young adult dystopia,
2014,Interstellar,Christopher Nolan,Matthew McConaughey, ,Action drama,
2014,Lucy,Luc Besson,Scarlett Johansson, ,Posthuman,
2014,The Maze Runner,Wes Ball,Dylan O'Brien, ,Young adult action,
2014,Outpost 37,Jabbar Raisani,Kenneth Fok, ,Action thriller,
2014,Mr. Peabody & Sherman,Rob Minkoff,Ty Burrell, ,,
2014,Parasyte: Part 1,Takashi Yamazaki,, ,Horror,
2014,Predestination,Peter Spierig,Ethan Hawke, ,Time travel,
2014,The Purge: Anarchy,James DeMonaco,Frank Grillo, ,Dystopian thriller,
2014,The Quiet Hour,Stéphanie Joalland,Karl Davies, ,[20],
2014,RoboCop,José Padilha,Joel Kinnaman, ,Cyberpunk action,
2014,The Signal,William Eubank,Brenton Thwaites, ,Mystery,
2014,Space Station 76,Jack Plotnick,Patrick Wilson, ,Retro comedy,
2014,Teenage Mutant Ninja Turtles,Jonathan Liebesman,Megan Fox, ,Action comedy,
2014,Time Lapse,Bradley D. King,Danielle Panabaker, ,Thriller,
2014,Transcendence,Wally Pfister,Johnny Depp, ,Posthuman,
2014,Transformers: Age of Extinction,Michael Bay,Mark Wahlberg, ,Action,
2014,Space Battleship Yamato 2199: Odyssey of the Celestial Ark,,, ,Anime film,
2014,Space Battleship Yamato 2199: A Voyage to Remember,,, ,Anime film,
2014,Spring,Aaron Scott Moorhead,Vanessa Bednar, ,,
2014,Calculator,Dmitriy Grachev,Evgeniy Mironov, ,,
2014,Under the Skin,Jonathan Glazer,Scarlett Johansson, ,Art film,
2014,X-Men: Days of Future Past,Bryan Singer,Hugh Jackman, ,Superhero,
year,Title,Director,Cast,Country,Subgenre/Notes,
2015,Aliens: Zone-X,Thomas R. Dickens,David J. Burke, ,,
2015,Ant-Man,Peyton Reed,Paul Rudd, ,Superhero,
2015,Avengers: Age of Ultron,Joss Whedon,Robert Downey Jr., ,Superhero,
2015,Chappie,Neill Blomkamp,Sharlto Copley, ,,
2015,The Divergent Series: Insurgent,Robert Schwentke,Shailene Woodley, ,,
2015,The End of the World and the Cat's Disappearance,Michihiro Takeuchi,Izukoneko Jun Aonami Daisuke Nishijima, ,[21],
2015,Ex Machina,Alex Garland,Domhnall Gleeson, ,Posthuman,
2015,Fantastic Four,Josh Trank,Miles Teller, ,Superhero,
2015,Ghost in the Shell: The New Movie,,, ,,
2015,Hardcore Henry,Ilya Naishuller,Sharlto Copley, ,Action adventure,
2015,The Hunger Games: Mockingjay – Part 2,Francis Lawrence,Jennifer Lawrence, ,,
2015,Infini,Shane Abbess,Daniel MacPherson, ,,
2015,Jupiter Ascending,The Wachowskis,Mila Kunis, ,Space opera,
2015,Jurassic World,Colin Trevorrow,Chris Pratt, ,,
2015,Kung Fury,David Sandberg,David Sandberg , ,Short film,
2015,Mad Max: Fury Road,George Miller,Tom Hardy, ,Post-apocalyptic action,
2015,The Martian,Ridley Scott,Matt Damon, ,Survival drama,
2015,Maze Runner: The Scorch Trials,Wes Ball,Dylan O'Brien, ,,
2015,Monsters: Dark Continent,Tom Green,Joe Dempsie, ,Monster movie,
2015,On Line,Li Changxin,Liu Mengmeng Li Ning Kang Enhe, ,Action,
2015,Pixels,Chris Columbus,Adam Sandler, ,Action comedy,
2015,Project Almanac,Dean Israelite,Jonny Weston, ,,
2015,Psycho-Pass: The Movie,Naoyoshi Shiotani,, ,Anime film,
2015,Self/less,Tarsem Singh,Ryan Reynolds, ,Mystery thriller,
2015,Star Wars: The Force Awakens,J. J. Abrams,Adam Driver, ,Space opera,
2015,Terminator Genisys,Alan Taylor,Arnold Schwarzenegger, ,Time travel action,
2015,Tomorrowland,Brad Bird,Britt Robertson, ,,
2015,Vice,Brian A. Miller,Bruce Willis, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
2016,The 5th Wave,J Blakeson,Chloë Grace Moretz, ,,
2016,10 Cloverfield Lane,Dan Trachtenberg,Mary Elizabeth Winstead, ,Psychological thriller,
2016,Vikram Kumar,Suriya, ,Time Travel,
2016,Approaching the Unknown,Mark Elijah Rosenberg,Mark Strong, ,,
2016,Arrival,Denis Villeneuve,Amy Adams, ,,
2016,Batman v Superman: Dawn of Justice,Zack Snyder,Henry Cavill, ,Superhero,
2016,Captain America: Civil War,Russo brothers,Chris Evans, ,Superhero,
2016,Cell,Tod Williams,John Cusack, ,,
2016,Colossal,Nacho Vigalondo,Anne Hathaway, ,,
2016,The Divergent Series: Allegiant,Robert Schwentke,Shailene Woodley, ,,
2016,The Girl with All the Gifts,Colm McCarthy,Gemma Arterton, ,,
2016,Independence Day: Resurgence,Roland Emmerich,Liam Hemsworth, ,Disaster film,
2016,Max Steel,Stewart Hendler,Ben Winchell, ,,
2016,Midnight Special,Jeff Nichols,Michael Shannon, ,Supernatural drama,
2016,Morgan,Luke Scott,Kate Mara, ,,
2016,The Purge: Election Year,James DeMonaco,Frank Grillo, ,Dystopian thriller,
2016,Passengers,Morten Tyldum,Jennifer Lawrence, ,Romantic drama,
2016,Ratchet & Clank,Kevin Munroe,James Arnold Taylor, ,Animated action comedy,
2016,Rogue One,Gareth Edwards,Felicity Jones, ,Space opera,
2016,Rupture,Steven Shainberg,Noomi Rapace, ,,
2016,Shin Godzilla,Hideaki Anno,Hiroki Hasegawa, ,Monster movie,
2016,Spectral,Nic Mathieu,James Badge Dale, ,Military science fiction,
2016,Star Trek Beyond,Justin Lin,Chris Pine, ,Action adventure,
2016,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,Megan Fox, ,Action comedy,
2016,Terra Formars,Takashi Miike,, ,Action horror,
2016,X-Men: Apocalypse,Bryan Singer,James McAvoy, ,Superhero,
year,Title,Director,Cast,Country,Subgenre/Notes,
2017,Alien: Covenant,Ridley Scott,Michael Fassbender, ,,
2017,Attraction,Fyodor Bondarchuk,, ,,
2017,Beyond Skyline,Liam O'Donnell,Frank Grillo, ,,
2017,Blade Runner 2049,Denis Villeneuve,Harrison Ford, ,,
2017,Blame!,Hiroyuki Seshita,, ,,
2017,The Circle,James Ponsoldt,Tom Hanks, ,,
2017,Despicable Me 3,Pierre Coffin,Steve Carell, ,,
2017,Downsizing,Alexander Payne,Matt Damon, ,Comedy-drama,
2017,Geostorm,Dean Devlin,Gerard Butler, ,,
2017,Ghost in the Shell,Rupert Sanders,Scarlett Johansson, ,1995 anime remake,
2017,Godzilla: Planet of the Monsters,Kobun Shizuno,, ,,
2017,Guardians of the Galaxy Vol. 2,James Gunn,Chris Pratt, ,Superhero,
2017,How to Talk to Girls at Parties,John Cameron Mitchell,Elle Fanning, ,Romantic comedy,
2017,Kill Switch,Tim Smit,Dan Stevens, ,,
2017,Justice League,Zack Snyder,Henry Cavill, ,,
2017,The Last Scout,Simon Phillips,Blaine Grey, ,[23],
2017,Life,Daniel Espinosa,Ryan Reynolds, ,Horror thriller,
2017,Logan,James Mangold,Hugh Jackman, ,Superhero drama,
2017,OtherLife,Ben C. Lucas,Jessica De Gouw, ,Thriller,
2017,Power Rangers,Dean Israelite,Naomi Scott, ,Superhero ,
2017,The Recall,Mauro Borrelli,Wesley Snipes, ,,
2017,Resident Evil: The Final Chapter,Paul W. S. Anderson,Milla Jovovich, ,Horror action,
2017,Revolt,Joe Miale,Lee Pace, ,,
2017,The Space Between Us,Peter Chelsom,Asa Butterfield, ,Romantic drama,
2017,Star Wars: The Last Jedi,Rian Johnson,Adam Driver, ,Space opera,
2017,Thor: Ragnarok,Taika Waititi,Chris Hemsworth, ,Superhero,
2017,Transformers: The Last Knight,Michael Bay,Mark Wahlberg, ,Action,
2017,Valerian and the City of a Thousand Planets,Luc Besson,Dane DeHaan, ,,
2017,War for the Planet of the Apes,Matt Reeves,Andy Serkis, ,,
2017,What Happened to Monday,Tommy Wirkola,Noomi Rapace, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
2018,Annihilation,Alex Garland,Natalie Portman, ,,
2018,Black Panther,Coogler Ryan,Chadwick Boseman, ,[24],
2018,The Cloverfield Paradox,Julius Onah,David Oyelowo, ,,
2018,Maze Runner: The Death Cure,Wes Ball,Dylan O'Brien, ,,
2018,Mute,Duncan Jones,Alexander Skarsgård, ,,
