x-coordinate,y-coordinate,Similarity_score
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9889249080233143
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9952212407711829
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9990224840716138
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9920087251788274
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9528805676154233
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRural,0.9852154876278779
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.991002080033087
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.8760375427744483
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.9980779724444651
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.9973915846506327
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRural,0.9925543594176266
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRural,0.9845652699002141
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.9966698528818777
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRural,0.9941646394247757
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.9979463461754441
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteTRUESci-fiFalseisRuralTrue,0.9890666217866039
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralFalse,0.993568218323345
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.997519029876335
